LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
330,3428,134476,Primary,20,17,6,17.8,12.4,4.3,24.5,"£43,423"
352,3505,134479,Primary,18,9,2,15.0,8.1,1.9,21.5,"£37,629"
208,3642,134507,Primary,10,9,3,10.0,8.4,3.0,20.8,"£50,251"
383,3922,134513,Primary,23,31,7,23.0,27.2,6.5,18.4,"£39,608"
886,3896,134515,Primary,10,10,2,9.8,7.7,2.0,19.1,"£36,945"
394,3332,134532,Primary,12,10,11,11.0,5.3,9.2,21.8,"£43,801"
331,7022,134533,Not applicable,25,21,6,19.5,17.7,4.3,5.7,"£46,489"
888,3998,134598,Primary,11,21,11,10.2,11.3,3.4,17.7,"£42,809"
888,3996,134599,Primary,23,39,11,20.6,23.6,4.8,17.8,"£44,228"
888,3995,134603,Primary,8,15,8,8.0,6.9,2.0,19.4,"£46,964"
808,3393,134621,Primary,25,18,4,19.5,11.0,3.3,22.2,"£39,868"
888,7111,134625,Not applicable,9,13,3,8.6,11.7,2.5,8,"£47,180"
855,7215,134640,Not applicable,34,102,12,29.7,80.0,10.3,6.8,"£39,939"
878,3777,134641,Primary,18,19,3,13.2,15.1,1.8,24.1,"£39,201"
350,4805,134646,Secondary,65,13,26,63.8,10.9,24.1,15.5,"£43,168"
850,3199,134652,Primary,11,12,4,9.8,10.1,2.6,19.8,"£41,971"
840,3524,134657,Primary,21,23,3,19.5,20.9,2.8,21.1,"£38,613"
341,7069,134658,Not applicable,15,28,4,15.0,24.8,3.2,10.7,"£43,376"
381,3332,134659,Primary,11,25,5,11.0,18.2,5.0,20.8,"£35,355"
342,3828,134661,Primary,18,17,3,15.7,13.4,2.2,19.9,"£39,175"
840,7033,134662,Not applicable,37,59,7,35.0,54.2,6.0,8.8,"£45,947"
